chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
17.4524,1.7452,37.275937,2.724146,1.576342e-04,2.1570,0,,5.075141e+00,3.869824e+00,3.394629e+00,2.925993e+00,2.706413e+00,2.500784e+00,2.966843e-01,2.402179e-01,1.964373e-02,1.623058e-02,1.358385e-02,8.254860e-04
17.4612,1.7461,86.851137,0.810922,1.348267e-05,1.4440,0,,3.490922e+00,7.357761e-01,4.266173e-01,2.770339e-01,2.299062e-01,1.938477e-01,1.077744e-02,8.554430e-03,6.328603e-04,5.218895e-04,4.377502e-04,2.087874e-05
17.4845,1.7485,86.851137,0.467492,6.778406e-06,1.2593,0,,3.296459e+00,5.871498e-01,3.331715e-01,2.133149e-01,1.762674e-01,1.478921e-01,7.945485e-03,6.303060e-03,4.757184e-04,3.929334e-04,3.296929e-04,1.024767e-05
17.4935,1.7494,32.374575,2.185488,9.074942e-05,1.3443,0,,4.938012e+00,3.332947e+00,2.740021e+00,2.243133e+00,2.030586e+00,1.840621e+00,1.805996e-01,1.454749e-01,1.161111e-02,9.558833e-03,7.988581e-03,4.867857e-04
17.5040,1.7504,100.000000,0.241395,3.507536e-06,1.4530,0,,3.177413e+00,5.143841e-01,2.859583e-01,1.813400e-01,1.493613e-01,1.245136e-01,6.721561e-03,5.340642e-03,3.451104e-04,2.700268e-04,2.139590e-04,3.100137e-06
17.5107,1.7511,86.851137,4.725367,1.090465e-03,20.0425,0,,4.929819e+00,5.922538e+00,5.247848e+00,4.583350e+00,4.295133e+00,4.037709e+00,1.130032e+00,9.856196e-01,1.281569e-01,1.069211e-01,9.033832e-02,5.737726e-03
17.5224,1.7522,10.481131,4.725367,6.571316e-04,1.4576,0,,3.608851e+00,4.179966e+00,4.141016e+00,4.042687e+00,3.981289e+00,3.914943e+00,2.171675e+00,1.992199e+00,3.583292e-01,3.026539e-01,2.587121e-01,1.837726e-02
17.5548,1.7555,100.000000,0.193663,2.796522e-06,1.4440,0,,3.171681e+00,5.032804e-01,2.799682e-01,1.769359e-01,1.452915e-01,1.213593e-01,6.602122e-03,5.252497e-03,2.969722e-04,2.283061e-04,1.797345e-04,2.468686e-06
17.5643,1.7564,49.417134,1.753341,5.236219e-05,1.4758,0,,4.467751e+00,2.335488e+00,1.641350e+00,1.191851e+00,1.028666e+00,8.949485e-01,6.343127e-02,5.068810e-02,3.810238e-03,3.124652e-03,2.619653e-03,1.615559e-04
17.5866,1.7587,86.851137,0.582715,8.852672e-06,1.3195,0,,3.394799e+00,6.361717e-01,3.633196e-01,2.340439e-01,1.934706e-01,1.626479e-01,8.846784e-03,6.988766e-03,5.245498e-04,4.326010e-04,3.633238e-04,1.344332e-05
17.5943,1.7594,65.512856,1.570455,3.981668e-05,1.6610,0,,4.126918e+00,1.656278e+00,1.074534e+00,7.424700e-01,6.294956e-01,5.397458e-01,3.452739e-02,2.746305e-02,2.023286e-03,1.666716e-03,1.392629e-03,8.731935e-05
17.6024,1.7602,100.000000,0.300892,4.454409e-06,1.4804,0,,3.242097e+00,5.362669e-01,3.001295e-01,1.899028e-01,1.565841e-01,1.308911e-01,7.026606e-03,5.579681e-03,4.033253e-04,3.177100e-04,2.544832e-04,4.307358e-06
17.6137,1.7614,100.000000,0.269506,3.965036e-06,1.4712,0,,3.232125e+00,5.288661e-01,2.948503e-01,1.867276e-01,1.540062e-01,1.285701e-01,6.913145e-03,5.492436e-03,3.770532e-04,2.953925e-04,2.349316e-04,3.583013e-06
17.6452,1.7645,86.851137,1.010791,1.868062e-05,1.6051,0,,3.669356e+00,8.724728e-01,5.140727e-01,3.367411e-01,2.803194e-01,2.369163e-01,1.345010e-02,1.069796e-02,7.867711e-04,6.478623e-04,5.427124e-04,2.958573e-05
17.6492,1.7649,86.851137,3.395568,3.268053e-04,8.3590,0,,5.093127e+00,4.569993e+00,3.781767e+00,3.134838e+00,2.865803e+00,2.627889e+00,3.416046e-01,2.783545e-01,2.292857e-02,1.885908e-02,1.583115e-02,9.674786e-04
17.6601,1.7660,100.000000,0.193663,2.813974e-06,1.4530,0,,3.211233e+00,5.095792e-01,2.834731e-01,1.791511e-01,1.471106e-01,1.228787e-01,6.684786e-03,5.318263e-03,3.006905e-04,2.311646e-04,1.819849e-04,2.499596e-06
17.6814,1.7681,37.275937,1.957525,6.950618e-05,1.3236,0,,4.789810e+00,2.974977e+00,2.297694e+00,1.784300e+00,1.580187e+00,1.405039e+00,1.170706e-01,9.393823e-02,7.277947e-03,5.991201e-03,5.023924e-03,3.059398e-04
17.6911,1.7691,86.851137,0.193663,2.638638e-06,1.1833,0,,3.236584e+00,5.199691e-01,2.881878e-01,1.826023e-01,1.502426e-01,1.255255e-01,6.787408e-03,5.397129e-03,3.326570e-04,2.589895e-04,2.042880e-04,2.896549e-06
17.7068,1.7707,100.000000,0.173462,2.520456e-06,1.4530,0,,3.220233e+00,5.078106e-01,2.817870e-01,1.783174e-01,1.461866e-01,1.221165e-01,6.674193e-03,5.307394e-03,2.773701e-04,2.121906e-04,1.648225e-04,2.295218e-06
17.7092,1.7709,37.275937,4.232476,5.438665e-04,4.7899,0,,5.068959e+00,4.392653e+00,4.389489e+00,4.332124e+00,4.265446e+00,4.177347e+00,1.122777e+00,9.466674e-01,9.629994e-02,7.989451e-02,6.726728e-02,4.184541e-03
17.7612,1.7761,56.898660,3.395568,3.217171e-04,5.3909,0,,5.083989e+00,4.956722e+00,4.491729e+00,3.938566e+00,3.671828e+00,3.420326e+00,4.943036e-01,4.041916e-01,3.432844e-02,2.833450e-02,2.371601e-02,1.445436e-03
17.7860,1.7786,49.417134,1.570455,4.115623e-05,1.2951,0,,4.361816e+00,2.032249e+00,1.377996e+00,9.780541e-01,8.371662e-01,7.233847e-01,4.898953e-02,3.907314e-02,2.916018e-03,2.391183e-03,2.001346e-03,1.241897e-04
17.7898,1.7790,24.420531,3.041385,2.133990e-04,1.7135,0,,5.223399e+00,4.186947e+00,3.780290e+00,3.457687e+00,3.308306e+00,3.162747e+00,6.015145e-01,4.952830e-01,4.435180e-02,3.668412e-02,3.085052e-02,1.892763e-03
17.7920,1.7792,100.000000,0.139163,2.022074e-06,1.4530,0,,3.231710e+00,5.011543e-01,2.774016e-01,1.753448e-01,1.441752e-01,1.206026e-01,6.643576e-03,5.288962e-03,2.312449e-04,1.788929e-04,1.382334e-04,1.563625e-06
17.7938,1.7794,100.000000,0.335932,5.066838e-06,1.5083,0,,3.325711e+00,5.567300e-01,3.116584e-01,1.982699e-01,1.632166e-01,1.363947e-01,7.330221e-03,5.814757e-03,4.396692e-04,3.484683e-04,2.807109e-04,5.508331e-06
17.7995,1.7800,42.919343,1.957525,6.922168e-05,1.5177,0,,4.747225e+00,2.889275e+00,2.174943e+00,1.655526e+00,1.454552e+00,1.284555e+00,1.015091e-01,8.133897e-02,6.236589e-03,5.133017e-03,4.275609e-03,2.621542e-04
17.8052,1.7805,21.209509,7.341750,1.742654e-03,5.0343,0,,3.248997e+00,3.166482e+00,3.046095e+00,2.920498e+00,2.864307e+00,2.815741e+00,2.274599e+00,2.119402e+00,4.695489e-01,4.018858e-01,3.473312e-01,2.633416e-02
17.8328,1.7833,56.898660,1.259921,2.604046e-05,1.1760,0,,4.028429e+00,1.389823e+00,8.734417e-01,5.925801e-01,4.992699e-01,4.259438e-01,2.640365e-02,2.099929e-02,1.543036e-03,1.269106e-03,1.063412e-03,6.678556e-05
17.8841,1.7884,56.898660,3.790997,4.563948e-04,6.8500,0,,5.041891e+00,5.286158e+00,5.000553e+00,4.531050e+00,4.283478e+00,4.041420e+00,7.319149e-01,6.067225e-01,5.556803e-02,4.583991e-02,3.845354e-02,2.350381e-03
17.9148,1.7915,100.000000,0.155369,2.278721e-06,1.4667,0,,3.287679e+00,5.156114e-01,2.848833e-01,1.798930e-01,1.481902e-01,1.239795e-01,6.786567e-03,5.399378e-03,2.574230e-04,1.967284e-04,1.551567e-04,1.944993e-06
17.9213,1.7921,86.851137,0.139163,1.901988e-06,1.1870,0,,3.290036e+00,5.155500e-01,2.851572e-01,1.808518e-01,1.483239e-01,1.241528e-01,6.790504e-03,5.398454e-03,2.655216e-04,2.013411e-04,1.591917e-04,2.078468e-06
17.9304,1.7930,100.000000,0.418729,6.494981e-06,1.5511,0,,3.407818e+00,5.871340e-01,3.307899e-01,2.108947e-01,1.738068e-01,1.455983e-01,7.803068e-03,6.192290e-03,4.724230e-04,3.902133e-04,3.273683e-04,7.629959e-06
17.9379,1.7938,86.851137,0.173462,2.385568e-06,1.1944,0,,3.313614e+00,5.274942e-01,2.924552e-01,1.846821e-01,1.517156e-01,1.274149e-01,6.900026e-03,5.483159e-03,3.165705e-04,2.433836e-04,1.929664e-04,2.675604e-06
17.9571,1.7957,86.851137,1.406644,3.262391e-05,2.0143,0,,3.958734e+00,1.225052e+00,7.533662e-01,5.049339e-01,4.236491e-01,3.602151e-01,2.161361e-02,1.712144e-02,1.255585e-03,1.036611e-03,8.673929e-04,5.475000e-05
17.9575,1.7958,86.851137,0.269506,3.788024e-06,1.2207,0,,3.367863e+00,5.574228e-01,3.112575e-01,1.975905e-01,1.624895e-01,1.362881e-01,7.303852e-03,5.799083e-03,4.248461e-04,3.351454e-04,2.690479e-04,4.742550e-06
17.9735,1.7974,100.000000,0.335932,5.114344e-06,1.5224,0,,3.387484e+00,5.671990e-01,3.175246e-01,2.020033e-01,1.662903e-01,1.389636e-01,7.468323e-03,5.924308e-03,4.479524e-04,3.550334e-04,2.859994e-04,5.612107e-06
17.9922,1.7992,86.851137,0.810922,1.382241e-05,1.4804,0,,3.654980e+00,7.726971e-01,4.481856e-01,2.910898e-01,2.415839e-01,2.037020e-01,1.132739e-02,8.990959e-03,6.651566e-04,5.485226e-04,4.600895e-04,2.194421e-05
18.0215,1.8022,86.851137,0.111645,1.530653e-06,1.1907,0,,3.310949e+00,5.124041e-01,2.831208e-01,1.792868e-01,1.474318e-01,1.231555e-01,6.808990e-03,5.418371e-03,2.240538e-04,1.698025e-04,1.304257e-04,1.431180e-06
18.0306,1.8031,100.000000,0.375053,5.781425e-06,1.5415,0,,3.423628e+00,5.812008e-01,3.263400e-01,2.082041e-01,1.714131e-01,1.434448e-01,7.679310e-03,6.097416e-03,4.661079e-04,3.818683e-04,3.090878e-04,6.477571e-06
18.0353,1.8035,86.851137,1.406644,3.272555e-05,2.0206,0,,3.978554e+00,1.232172e+00,7.578645e-01,5.079933e-01,4.262285e-01,3.624167e-01,2.174838e-02,1.722822e-02,1.263421e-03,1.043081e-03,8.728063e-04,5.509169e-05
18.0622,1.8062,65.512856,5.275657,1.419336e-03,17.6252,0,,4.399802e+00,5.797193e+00,5.827184e+00,5.488680e+00,5.271567e+00,5.047592e+00,1.601959e+00,1.419592e+00,2.215493e-01,1.863657e-01,1.586873e-01,1.048016e-02
18.0684,1.8068,28.117687,2.185488,9.341852e-05,1.2019,0,,5.093846e+00,3.490498e+00,2.917989e+00,2.436881e+00,2.226661e+00,2.035790e+00,2.174480e-01,1.755700e-01,1.422962e-02,1.171723e-02,9.807509e-03,5.963060e-04
18.1005,1.8100,86.851137,0.521934,7.953977e-06,1.3236,0,,3.530995e+00,6.447668e-01,3.670371e-01,2.355118e-01,1.948007e-01,1.636135e-01,8.828957e-03,6.990800e-03,5.265306e-04,4.346864e-04,3.649526e-04,1.250494e-05
